slug_url,title,built_year,is_featured,is_premium,floors,bedroom,bathroom,is_price_on_call,price_type,road_access,property_face,state,district,city,area,area_sq_ft,amount
land-with-house-for-sale-in-ravi-bhawan,Land with house for sale in Ravi Bhawan,1998.0,False,False,2.5,5.0,5.0,False,Per Aana,20.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Rabi Bhawan,19166.0,280000000.0
house-on-sale-in-land-price-in-saibaba-marga-banasthali,"House on sale in land price in Saibaba Marga, Banasthali",,False,False,1.0,,,False,Per Aana,22.0,East,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Banasthali,3336.93,63374857.56026296
land-on-sale-with-free-house-in-thulobharyang,Land on sale with free house in Thulobharyang,,False,False,1.0,3.0,1.0,False,Per Aana,12.0,East,Bagmati State,Kathmandu,Nagarjun  Municipality,Thulobharyang,1005.35,19093571.950328708
house-on-sale-in-swoyambhu-in-land-price,House on sale in Swoyambhu in land price,,False,False,2.5,6.0,3.0,False,Per Aana,22.0,East,Bagmati State,Kathmandu,Nagarjun  Municipality,Swoyambhu,4363.68,79049864.13440469
bungalow-for-sale-at-syuchatar,Bungalow for sale at Syuchatar,,False,False,2.5,4.0,5.0,False,Per Aana,12.0,,Bagmati State,Kathmandu,Nagarjun  Municipality,Syuchatar,22588.5,231000000.0
land-on-sale-with-free-house-at-koteshwor-mahadevsthan,"Land on sale with free house at Koteshwor, Mahadevsthan",,False,False,1.0,,,False,Per Aana,14.0,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Koteshwor,3080.25,52200000.0
house-on-sale-in-land-price-in-sorakhutte-NH11117,House on sale in land price in Sorakhutte,,False,False,,,,False,Per Aana,20.0,East,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Sorhakhutte,1839.59,36549925.493060626
house-on-sale-at-thasikhel-lalitpur-NH11035,"House on sale at Thasikhel, Lalitpur",,False,False,2.0,,,False,Per Aana,20.0,,Bagmati State,Lalitpur,Lalitpur Metropolitan City,Thasikhel,3080.25,49500000.0
bungalow-on-sale-at-baluwatar,Bungalow on sale at Baluwatar,,False,False,,,,False,Per Aana,,,Bagmati State,Kathmandu,Kathmandu Metropolitan City,Baluwatar,10952.0,204800000.0
residential-purpose-house-for-sale-at-loolang-height-balaju,"Residential purpose house for sale at loolang height, Balaju",,False,False,1.0,1.0,1.0,,Per Aana,,South,Bagmati State,Kathmandu,Tarkeshwor  Municipality,Mudkhu,2566.87,26249948.867786705
